,Image,Accuracy,F1,Jaccard,Recall,Precision
0,100051_1-026,1.0,1.0,1.0,1.0,1.0
1,100051_1-030,1.0,1.0,1.0,1.0,1.0
2,100051_1-044,0.9995880126953125,0.0,0.0,1.0,0.0
3,100051_1-045,0.9995498657226562,0.0,0.0,1.0,0.0
4,100051_1-049,0.9811210632324219,0.0,0.0,1.0,0.0
5,100051_1-050,0.9694938659667969,0.0,0.0,1.0,0.0
6,100051_1-052,0.9656181335449219,0.0,0.0,1.0,0.0
7,100051_1-057,0.9916801452636719,0.9133939562403208,0.8405934804853091,0.8600164510581021,0.973835732430144
8,100051_1-068,0.9901390075683594,0.922980663230343,0.8569768728560363,0.9546379044684129,0.8933556350213404
9,100051_1-070,0.9846115112304688,0.8792649347539806,0.7845430753618544,0.9242433775876172,0.8384610993778183
10,100051_1-071,0.9887161254882812,0.9155677342010617,0.8442830069488313,0.9638800408678406,0.8718673552595814
11,100051_1-074,0.9912605285644531,0.9408575780261765,0.8883201715901335,0.9712199541651122,0.9123360368479023
12,100051_1-077,0.9932098388671875,0.9550845319202624,0.9140304274329872,0.9764718022805841,0.9346140550150625
13,100051_1-094,0.9898948669433594,0.953731682182593,0.9115555407165036,0.9458513771002944,0.9617443990418487
14,100051_1-097,0.9888687133789062,0.951091146793604,0.9067433684883349,0.9570585258896948,0.9451977212912683
15,100051_1-101,0.9838638305664062,0.9206974128233971,0.853048462741011,0.9250329628932003,0.916402313864527
16,100051_1-110,0.9371147155761719,0.5348345043596039,0.36503351051536864,0.7466320018908059,0.4166446847797415
17,100051_1-112,0.9419708251953125,0.0,0.0,1.0,0.0
18,100051_1-125,0.9998054504394531,0.0,0.0,1.0,0.0
19,100053_1-004,1.0,1.0,1.0,1.0,1.0
20,100053_1-011,0.9999923706054688,0.0,0.0,1.0,0.0
21,100053_1-019,0.9966659545898438,0.0,0.0,1.0,0.0
22,100053_1-033,0.9743461608886719,0.891207635687131,0.8037642252699154,0.993436001009846,0.8080556207463037
23,100053_1-038,0.9835472106933594,0.9357716191866092,0.8792958692488526,0.9525238744884038,0.9195984311889013
24,100053_1-040,0.8894157409667969,0.21585652844274933,0.12098608205221505,0.12158332571533047,0.9609826589595376
25,100053_1-043,0.9184150695800781,0.5029169087739687,0.3359311929454139,0.3467517066760681,0.9150033829499323
26,100053_1-045,0.9874610900878906,0.946904227308705,0.8991624996165292,0.912259952068225,0.9842836993753777
27,100053_1-048,0.9020271301269531,0.06922045446308847,0.035851039867857946,0.0366195022815292,0.630779392338177
28,100053_1-049,0.8997344970703125,0.061285714285714284,0.031611524574460245,0.032030462537798184,0.7073371805441055
29,100053_1-058,0.9944725036621094,0.9612680762342626,0.9254246011322697,0.9312237816562224,0.9933156557286488
30,100053_1-064,0.980133056640625,0.7736832956718235,0.6309000708717222,0.6321994176549961,0.9967528832157653
31,100053_1-066,0.9926834106445312,0.9279543234918488,0.8655921513665031,0.8904909523466225,0.9687083366010509
32,100053_1-069,0.9478187561035156,0.04921109334816154,0.025226252405045252,0.025226252405045252,1.0
33,100053_1-078,0.999969482421875,0.0,0.0,1.0,0.0
34,100053_1-080,0.9999427795410156,0.0,0.0,1.0,0.0
35,100053_1-081,1.0,1.0,1.0,1.0,1.0
36,100053_1-082,1.0,1.0,1.0,1.0,1.0
37,100053_1-088,1.0,1.0,1.0,1.0,1.0
38,100053_1-099,1.0,1.0,1.0,1.0,1.0
39,100053_1-101,1.0,1.0,1.0,1.0,1.0
40,100053_1-103,1.0,1.0,1.0,1.0,1.0
41,100053_1-107,0.9997406005859375,0.0,0.0,1.0,0.0
42,100053_1-109,1.0,1.0,1.0,1.0,1.0
43,100053_1-110,1.0,1.0,1.0,1.0,1.0
44,100056_1-004,1.0,1.0,1.0,1.0,1.0
45,100056_1-005,0.9991607666015625,0.0,0.0,1.0,0.0
46,100056_1-009,1.0,1.0,1.0,1.0,1.0
47,100056_1-010,1.0,1.0,1.0,1.0,1.0
48,100056_1-012,1.0,1.0,1.0,1.0,1.0
49,100056_1-017,1.0,1.0,1.0,1.0,1.0
50,100056_1-019,1.0,1.0,1.0,1.0,1.0
51,100056_1-037,0.9951515197753906,0.0,0.0,1.0,0.0
52,100056_1-040,0.98162841796875,0.0,0.0,1.0,0.0
53,100056_1-047,0.9952011108398438,0.953445340833395,0.9110325318246111,0.963284229417483,0.9438054069895231
54,100056_1-049,0.9958419799804688,0.9648319029489579,0.9320533599301832,0.9331585845347313,0.9987308797007548
55,100056_1-054,0.9905662536621094,0.9365001925792785,0.8805833212612874,0.8986349972897059,0.9776967617413682
56,100056_1-056,0.9943656921386719,0.9626085415559099,0.9279125384352579,0.9968017616525979,0.9306833757587625
57,100056_1-073,0.9878692626953125,0.9476594904206992,0.9005255255255256,0.9914930256586878,0.9075375933923899
58,100056_1-076,0.9896316528320312,0.9564855432102719,0.9166001841055539,0.9453463717206241,0.9678903541457409
59,100056_1-079,0.9924850463867188,0.968170361274478,0.9383044690113056,0.9737398030485228,0.9626642675834591
60,100056_1-080,0.9915885925292969,0.9644532572423465,0.9313469082757332,0.9522490688568427,0.9769743288261806
61,100056_1-082,0.9849014282226562,0.9354533594259622,0.8787340298416005,0.912274563440313,0.9598407014490814
62,100056_1-090,0.9788093566894531,0.7972109663052604,0.6628019910161467,0.7090720176634846,0.9103718525929632
63,100056_1-108,0.9691696166992188,0.0,0.0,1.0,0.0
64,100056_1-111,0.993499755859375,0.0,0.0,1.0,0.0
65,100056_1-112,0.9949951171875,0.0,0.0,1.0,0.0
66,100056_1-119,0.9670181274414062,0.0,0.0,1.0,0.0
67,100056_1-125,0.9906806945800781,0.0,0.0,1.0,0.0
68,100056_1-126,1.0,1.0,1.0,1.0,1.0
69,100058_1-013,1.0,1.0,1.0,1.0,1.0
70,100058_1-028,1.0,1.0,1.0,1.0,1.0
71,100058_1-033,1.0,1.0,1.0,1.0,1.0
72,100058_1-034,1.0,1.0,1.0,1.0,1.0
73,100058_1-036,1.0,1.0,1.0,1.0,1.0
74,100058_1-040,1.0,1.0,1.0,1.0,1.0
75,100058_1-046,1.0,1.0,1.0,1.0,1.0
76,100058_1-048,0.9645233154296875,0.035269709543568464,0.01795142555438226,0.01799513072933206,0.8808290155440415
77,100058_1-056,0.981414794921875,0.794794035885772,0.6594673935835605,0.6594673935835605,1.0
78,100058_1-058,0.9894561767578125,0.8876148654143287,0.7979384457928211,0.8253308128544423,0.9600668484475328
79,100058_1-059,0.9836387634277344,0.8406346375357634,0.7250817255304147,0.7250817255304147,1.0
80,100058_1-061,0.9846954345703125,0.8363517702724751,0.7187324733595064,0.7283836589698046,0.9818982856048272
81,100058_1-064,0.9833641052246094,0.8392850562004791,0.7230759461518923,0.7298891096724569,0.9872550719611584
82,100058_1-066,0.98687744140625,0.8887163561076605,0.799720540288775,0.8687622541268737,0.9096086351897226
83,100058_1-069,0.9960823059082031,0.9733336795367797,0.9480526049570056,0.9697832048429658,0.9769102470551444
84,100058_1-071,0.9899559020996094,0.9388001766496991,0.8846591904678465,0.8903143323193581,0.9928711897738446
85,100058_1-076,0.9890251159667969,0.9426446841171429,0.8915117462951092,0.904333856099147,0.9843450745274378
86,100058_1-083,0.9580421447753906,0.7856488609124394,0.6469700860187444,0.657157760897206,0.9765988372093023
87,100058_1-087,0.9836578369140625,0.9353026458861906,0.878468085106383,0.8958254983076345,0.9784195393219375
88,100058_1-089,0.9867019653320312,0.9434769919252847,0.8930018416206261,0.984801814304573,0.9054806884317326
89,100058_1-090,0.9892921447753906,0.9561837566145824,0.9160460595184686,0.9668234477098393,0.9457756916996047
90,100058_1-097,0.9846382141113281,0.9223171743282085,0.8558336018329574,0.9946328271271063,0.8598043446986046
91,100058_1-104,0.9855270385742188,0.0,0.0,1.0,0.0
92,100058_1-105,0.9907417297363281,0.0,0.0,1.0,0.0
93,100058_1-106,0.9934158325195312,0.0,0.0,1.0,0.0
94,100058_1-108,0.9999122619628906,0.0,0.0,1.0,0.0
95,100058_1-111,0.9986495971679688,0.0,0.0,1.0,0.0
96,100058_1-112,0.9990386962890625,0.0,0.0,1.0,0.0
97,100058_1-121,0.9996452331542969,0.0,0.0,1.0,0.0
98,100058_1-124,1.0,1.0,1.0,1.0,1.0
99,100058_1-133,0.9997711181640625,0.0,0.0,1.0,0.0
100,100058_1-134,0.9930763244628906,0.0,0.0,1.0,0.0
101,100058_1-135,0.9992866516113281,0.0,0.0,1.0,0.0
102,100058_1-144,0.9994735717773438,0.0,0.0,1.0,0.0
103,100058_1-147,0.9989089965820312,0.0,0.0,1.0,0.0
104,100058_1-148,0.9958419799804688,0.0,0.0,1.0,0.0
105,100065_1-005,1.0,1.0,1.0,1.0,1.0
106,100065_1-006,1.0,1.0,1.0,1.0,1.0
107,100065_1-008,0.999908447265625,0.0,0.0,1.0,0.0
108,100065_1-010,1.0,1.0,1.0,1.0,1.0
109,100065_1-022,1.0,1.0,1.0,1.0,1.0
110,100065_1-032,1.0,1.0,1.0,1.0,1.0
111,100065_1-046,0.9948997497558594,0.9561279737489744,0.9159436690557022,0.9409675127559258,0.9717849519743863
112,100065_1-050,0.990997314453125,0.9261715572796095,0.8624949018236905,1.0,0.8624949018236905
113,100065_1-059,0.9918785095214844,0.9539566167088388,0.9119665894806483,0.9997280268346856,0.9121929026387625
114,100065_1-060,0.9889640808105469,0.9392469392469392,0.8854529616724739,1.0,0.8854529616724739
115,100065_1-074,0.9903831481933594,0.9632897936598082,0.9291794252324634,0.9400596845246554,0.9876970855231725
116,100065_1-077,0.9895172119140625,0.9575296735905044,0.9185198363280556,0.9547850208044383,0.960290151585604
117,100065_1-080,0.9888343811035156,0.9545023549344815,0.9129646149271484,0.9179597572278531,0.994074985430292
118,100065_1-083,0.9889297485351562,0.9525305067556517,0.9093634830407895,0.9699836759169804,0.9356943150046598
119,100065_1-088,0.9668312072753906,0.7642161781055942,0.6184060387957517,0.7804486291885904,0.7486452024226968
120,100065_1-089,0.9631767272949219,0.7694145187874734,0.6252426430623496,0.9247774906689635,0.6587450916230366
121,100065_1-091,0.9753532409667969,0.7519484009674818,0.6024978466838932,0.7289170078154075,0.7764827148747225
122,100065_1-095,0.9744606018066406,0.0,0.0,1.0,0.0
123,100065_1-096,0.9933357238769531,0.0,0.0,1.0,0.0
124,100065_1-098,0.9944877624511719,0.0,0.0,1.0,0.0
125,100065_1-099,0.9999771118164062,0.0,0.0,1.0,0.0
126,100065_1-110,1.0,1.0,1.0,1.0,1.0
127,100065_1-115,1.0,1.0,1.0,1.0,1.0
128,100067_1-003,1.0,1.0,1.0,1.0,1.0
129,100067_1-006,1.0,1.0,1.0,1.0,1.0
130,100067_1-007,1.0,1.0,1.0,1.0,1.0
131,100067_1-010,1.0,1.0,1.0,1.0,1.0
132,100067_1-013,1.0,1.0,1.0,1.0,1.0
133,100067_1-024,1.0,1.0,1.0,1.0,1.0
134,100067_1-026,1.0,1.0,1.0,1.0,1.0
135,100067_1-034,0.99993896484375,0.0,0.0,1.0,0.0
136,100067_1-049,0.9868507385253906,0.9135114791117802,0.8407925730913122,0.9444357976653697,0.8845481049562682
137,100067_1-051,0.9928207397460938,0.9598857532611476,0.9228656912168531,0.938716804936007,0.9820314885080029
138,100067_1-061,0.9911270141601562,0.9595196658545075,0.9221891412705315,0.9861205508853514,0.934316217590239
139,100067_1-063,0.8772010803222656,0.0,0.0,1.0,0.0
140,100067_1-083,0.9903373718261719,0.0,0.0,1.0,0.0
141,100067_1-085,0.9819221496582031,0.0,0.0,1.0,0.0
142,100067_1-092,0.9901046752929688,0.0,0.0,1.0,0.0
143,100067_1-097,1.0,1.0,1.0,1.0,1.0
144,100067_1-104,1.0,1.0,1.0,1.0,1.0
145,100067_1-111,1.0,1.0,1.0,1.0,1.0
146,100067_1-115,1.0,1.0,1.0,1.0,1.0
147,100067_1-117,1.0,1.0,1.0,1.0,1.0
148,100067_1-120,1.0,1.0,1.0,1.0,1.0
149,100067_1-121,1.0,1.0,1.0,1.0,1.0
150,100067_1-123,1.0,1.0,1.0,1.0,1.0
151,100069_1-001,1.0,1.0,1.0,1.0,1.0
152,100069_1-005,1.0,1.0,1.0,1.0,1.0
153,100069_1-006,1.0,1.0,1.0,1.0,1.0
154,100069_1-017,1.0,1.0,1.0,1.0,1.0
155,100069_1-021,1.0,1.0,1.0,1.0,1.0
156,100069_1-026,1.0,1.0,1.0,1.0,1.0
157,100069_1-028,1.0,1.0,1.0,1.0,1.0
158,100069_1-036,1.0,1.0,1.0,1.0,1.0
159,100069_1-038,1.0,1.0,1.0,1.0,1.0
160,100069_1-040,0.9997329711914062,0.0,0.0,1.0,0.0
161,100069_1-048,0.9946517944335938,0.9486672524897481,0.902347287037682,0.9055008038023346,0.9961553248750481
162,100069_1-053,0.9945602416992188,0.954646650976401,0.9132286722648169,0.9481331732895318,0.9612502401844617
163,100069_1-055,0.9920120239257812,0.934827264239029,0.8776297335203366,0.9913525645257113,0.8844002120016489
164,100069_1-058,0.9912986755371094,0.9374331404119923,0.8822344984253188,0.9959783178877426,0.8853886010362695
165,100069_1-059,0.9930839538574219,0.9533537448220856,0.9108652900688299,0.9844837664062915,0.9241320830007981
166,100069_1-060,0.9899330139160156,0.9321401938851603,0.8729050279329609,1.0,0.8729050279329609
167,100069_1-075,0.9913253784179688,0.9645750249252243,0.9315740378539403,0.9847323388148478,0.9452263914755901
168,100069_1-080,0.9924468994140625,0.9718157490178216,0.9451766530069775,0.9761789013125911,0.9674914264660035
169,100069_1-081,0.9896392822265625,0.9635651427344923,0.9296919492622314,0.9374820538254718,0.99114116186008
170,100069_1-085,0.9878425598144531,0.9570930436070384,0.9177166167510069,0.9884319123494897,0.927680342415701
171,100069_1-086,0.9892845153808594,0.9616136217664021,0.9260653278235464,0.9867900715187211,0.9376898885986887
172,100069_1-088,0.9769706726074219,0.9121980307459603,0.8385699387651416,0.9819331809499953,0.8517110266159695
173,100069_1-092,0.9908447265625,0.9666592576128028,0.9354699935469993,0.9904631764739374,0.9439726510567871
174,100069_1-098,0.9861831665039062,0.9408981137001501,0.8883924444581395,0.9800795458408403,0.9047290300310666
175,100069_1-100,0.9807510375976562,0.9062778603268945,0.8286180076758483,0.9838293410758933,0.8400592245713105
176,100069_1-121,0.9184684753417969,0.0,0.0,1.0,0.0
177,100069_1-126,0.9899749755859375,0.0,0.0,1.0,0.0
178,100072_1-06,1.0,1.0,1.0,1.0,1.0
179,100072_1-07,1.0,1.0,1.0,1.0,1.0
180,100072_1-14,1.0,1.0,1.0,1.0,1.0
181,100072_1-17,1.0,1.0,1.0,1.0,1.0
182,100072_1-18,1.0,1.0,1.0,1.0,1.0
183,100072_1-19,1.0,1.0,1.0,1.0,1.0
184,100072_1-29,0.9728164672851562,0.0,0.0,1.0,0.0
185,100072_1-42,0.9948005676269531,0.9651914089434839,0.9327245804540968,0.9556005056890012,0.9749767825817769
186,100072_1-50,0.9685478210449219,0.0,0.0,1.0,0.0
187,100072_1-53,1.0,1.0,1.0,1.0,1.0
188,100072_1-55,1.0,1.0,1.0,1.0,1.0
189,100072_1-56,1.0,1.0,1.0,1.0,1.0
190,100072_1-63,1.0,1.0,1.0,1.0,1.0
191,100073_1-004,1.0,1.0,1.0,1.0,1.0
192,100073_1-007,1.0,1.0,1.0,1.0,1.0
193,100073_1-012,1.0,1.0,1.0,1.0,1.0
194,100073_1-013,1.0,1.0,1.0,1.0,1.0
195,100073_1-015,1.0,1.0,1.0,1.0,1.0
196,100073_1-025,1.0,1.0,1.0,1.0,1.0
197,100073_1-028,1.0,1.0,1.0,1.0,1.0
198,100073_1-032,1.0,1.0,1.0,1.0,1.0
199,100073_1-037,0.9983482360839844,0.0,0.0,1.0,0.0
200,100073_1-039,0.9973487854003906,0.0,0.0,1.0,0.0
201,100073_1-043,0.9961013793945312,0.9573170731707318,0.9181286549707602,0.968235194728394,0.9466424382588585
202,100073_1-048,0.9894523620605469,0.8990396903640413,0.8165959140355532,0.9953108577896354,0.819749633772806
203,100073_1-050,0.9936752319335938,0.9426773613608076,0.8915702046955726,0.99853512048634,0.8927378691637745
204,100073_1-055,0.9940986633300781,0.9531992134321585,0.9105832032830472,0.9838256416661463,0.9244220161952822
205,100073_1-061,0.9905357360839844,0.9331429033388126,0.8746653195251326,0.8951041720519051,0.9745581447709107
206,100073_1-062,0.9860076904296875,0.888266114292677,0.798991670320035,0.9916343603346256,0.8044137931034483
207,100073_1-069,0.9911956787109375,0.9505209449899241,0.9057073987825306,0.9719409005217239,0.9300247514368419
208,100073_1-070,0.9854698181152344,0.9205150142943596,0.8527353566595786,0.9506896551724138,0.8921969176004207
209,100073_1-071,0.9834747314453125,0.911548513557661,0.8374727995798004,0.9504790291675538,0.8756816131183555
210,100073_1-075,0.9721794128417969,0.8736245646259682,0.7756069044029414,0.8456506424234291,0.9035125448028674
211,100073_1-082,0.9821128845214844,0.91140292867265,0.8372270628666644,0.966149901854745,0.8625277161862528
212,100073_1-085,0.9805641174316406,0.9003150006847842,0.8187026296124968,0.9865786201277819,0.8279237135660309
213,100073_1-089,0.9882469177246094,0.934698289565715,0.8774024113644503,0.9964300239504722,0.8801692479642343
214,100073_1-092,0.9781723022460938,0.8666449147012213,0.7646720131606004,0.8953146819473202,0.8397543019737139
215,100073_1-094,0.9845771789550781,0.8865122807017545,0.7961581123323586,0.9063307122768754,0.8675420283485331
216,100073_1-097,0.977874755859375,0.7621391076115486,0.6156904320169626,0.6229134544479453,0.9815147353966409
217,100073_1-098,0.9807357788085938,0.7861619241192412,0.6476662247959255,0.6491154464722747,0.9965646806226517
218,100073_1-103,1.0,1.0,1.0,1.0,1.0
219,100073_1-104,0.9998321533203125,0.0,0.0,1.0,0.0
220,100073_1-105,0.9999504089355469,0.0,0.0,1.0,0.0
221,100073_1-112,1.0,1.0,1.0,1.0,1.0
222,100073_1-113,1.0,1.0,1.0,1.0,1.0
223,100073_1-114,1.0,1.0,1.0,1.0,1.0
224,100073_1-116,0.9970855712890625,0.0,0.0,1.0,0.0
225,100073_1-119,1.0,1.0,1.0,1.0,1.0
226,100073_1-127,0.9999923706054688,0.0,0.0,1.0,0.0
227,100073_1-128,0.9993553161621094,0.0,0.0,1.0,0.0
228,100073_1-137,1.0,1.0,1.0,1.0,1.0
229,100073_1-139,1.0,1.0,1.0,1.0,1.0
230,100073_1-142,0.9999237060546875,0.0,0.0,1.0,0.0
231,100075_1-004,1.0,1.0,1.0,1.0,1.0
232,100075_1-005,1.0,1.0,1.0,1.0,1.0
233,100075_1-017,1.0,1.0,1.0,1.0,1.0
234,100075_1-022,1.0,1.0,1.0,1.0,1.0
235,100075_1-041,1.0,1.0,1.0,1.0,1.0
236,100075_1-046,0.9997596740722656,0.0,0.0,1.0,0.0
237,100075_1-048,0.9985008239746094,0.0,0.0,1.0,0.0
238,100075_1-049,0.9943580627441406,0.0,0.0,1.0,0.0
239,100075_1-056,0.9965896606445312,0.9636082390295531,0.9297721916732129,0.9983973007169971,0.9311619856816931
240,100075_1-057,0.9942703247070312,0.9399151932154572,0.8866415094339622,0.9908071181580501,0.8939958907236892
241,100075_1-058,0.9982223510742188,0.9829889756881068,0.9665470208183776,0.986156888595913,0.9798413507022778
242,100075_1-061,0.9955215454101562,0.9601898948796201,0.9234281241847118,0.977559897811227,0.9434264010128607
243,100075_1-063,0.9912185668945312,0.9269438273563947,0.8638353247367798,0.9528283421413193,0.9024284743249088
244,100075_1-065,0.9920082092285156,0.9407773851590107,0.8881772084334134,0.895345708905031,0.9910661107802263
245,100075_1-066,0.990325927734375,0.9265183124710247,0.863096523429065,0.9084607079947724,0.9453083426949683
246,100075_1-070,0.9910011291503906,0.934706191701957,0.8774163375597589,0.9836877366734634,0.8903712296983759
